,Unnamed: 0,text,label,clean_tweet,English,hindi,sentiment
0,0,Triple Talaq par Burbak Kuchh nahi bolega,0,triple talaq par burbak kuchh nahi bolega,burbak kuchh will not say anything on triple talaq,तीन तलाक पर कुछ नहीं बोलेंगे बुरबक कुच्छ,No_sarcasm
1,1,Batao ye uss site pr se akki sir ke verdict nikaal laaye jaha he ajay ki ek bi movie hit nai,1,batao ye uss site pr se akki sir ke verdict nikaal laaye jaha ajay ki ek bi movie hit nai,tell us from this site that akki sir's verdict will be taken where a movie is a hit.,इस साइट से हमें बताएं कि अक्की सर का फैसला वहीं होगा जहां कोई फिल्म हिट होगी।,sarcasm
2,2,Hindu baheno par julam bardas nahi hoga @TripleTalaq Hindu daram par lago hoga hamari Hindu baheno ki soraksa ke liye,0,hindu baheno par julam bardas nahi hoga hindu daram par lago hoga hamari hindu baheno ki soraksa ke liye,"there will be no oppression on hindu sisters, it will be imposed on hindu dams for the safety of our hindu sisters","""हिन्दू बहनों पर कोई जुल्म नहीं होगा, हमारी हिन्दू बहनों की सुरक्षा के लिए हिन्दू बांधों पर जुल्म होगा""",No_sarcasm
3,3,Naa bhai.. aisa nhi hai.. mere handle karne se bhi kuchh hona nhi hai.. politics se mera door door tak ka naata nhi hai,0,naa bhai aisa nhi hai mere handle karne se bhi kuchh hona nhi hai politics se mera door door tak ka naata nhi hai,"naa brother, it is not like that, i have nothing to do with politics, i have nothing to do with politics.","""ना भाई, ऐसा नहीं है, मेरा राजनीति से कोई लेना-देना नहीं है, मेरा राजनीति से कोई लेना-देना नहीं है।""",No_sarcasm
4,4,#RememberingRajiv aaj agar musalman auraten triple talaq ki wajah se itni jaleel ho rahi hai to iss ka sabse bada reason Rajib gandhi hai.,0,rememberingrajiv aaj agar musalman auraten triple talaq ki wajah se itni jaleel ho rahi hai iss ka sabse bada reason rajib gandhi hai,"remembering rajiv, today if muslim women are feeling so ashamed of triple talaq, the biggest reason for this is rajiv gandhi.","''राजीव को याद करते हुए, आज अगर मुस्लिम महिलाएं तीन तलाक को लेकर इतनी शर्म महसूस कर रही हैं तो इसका सबसे बड़ा कारण राजीव गांधी हैं।''",No_sarcasm
5,5,are cricket se sanyas le liya kya viru aur social service suru kardiya.khel hi bhul gaye.2 innings 0 n 0,0,cricket se sanyas le liya kya viru aur social service suru kardiya khel hi bhul gaye innings n,what virus did he retire from cricket and did social service?,उन्होंने किस वायरस से क्रिकेट से संन्यास लिया और समाज सेवा की?,No_sarcasm
6,6,Sohail bahi hame bhi treen kardo muje bhi shock he cricket,0,sohail bahi hame bhi treen kardo muje bhi shock cricket,sohail bahi hume bhi train karo me bhi shock cricket,सोहेल बहुत हमें भी ट्रेन करो मैं भी शॉक क्रिकेट,No_sarcasm
7,7,bhai triple talaq se aap kya samjhte hai samjhaye aap zara ..agar triple talaq pta hota apko toh aisa nhi kehte..,0,bhai triple talaq se aap kya samjhte hai samjhaye aap zara agar triple talaq pta hota apko toh aisa nhi kehte,"brother, what do you understand by triple talaq, please understand, if triple talaq was heard then you would not have said like this.","""भाई, आप तीन तलाक से क्या समझते हैं, कृपया समझिए, अगर तीन तलाक सुना होता तो आप ऐसा नहीं कहते।""",No_sarcasm
8,8,Bachcho ki death par politics ke bajay unke liye prayer aur unki family ko console kiya jana jyada zaruri he.. thodi humanity bhi zaruri he,0,bachcho ki death par politics ke bajay unke liye prayer aur unki family ko console kiya jana jyada zaruri thodi humanity bhi zaruri,"instead of politics on the death of children, it is more important to pray for them and console their families, some humanity is also necessary.","""बच्चों की मौत पर राजनीति से ज़्यादा ज़रूरी है उनके लिए प्रार्थना करना और उनके परिवारों को सांत्वना देना, थोड़ी इंसानियत भी ज़रूरी है.""",No_sarcasm
9,9,"#@spn_cricket lijiye S Thakur ne phir pahni no.10 jarsi, inka kharab din chalu ho gaya..@BCCI#Slsvind",0,lijiye s thakur ne phir pahni jarsi inka kharab din chalu ho gaya,lijiye s thakur again wore this jar and his bad day has started.,लिजीये एस ठाकुर ने फिर से ये जार पहन लिया और उनका बुरा दिन शुरू हो गया.,No_sarcasm
10,10,Itna hungama to #TripleTalaq par muslims me bhi nahi hua.. Jitna #RamRahimVerdict par Dharamguruao me ho raha h.. #CongressWithRamRahim,0,itna hungama tripletalaq par muslims bhi nahi hua jitna ramrahimverdict par dharamguruao ho raha h congresswithramrahim,there is so much uproar on triple talaq even among muslims as much as there is on dharam guru's verdict on ramrahim congresswithramrahim,मुस्लिमों में भी तीन तलाक पर उतना ही हंगामा है जितना रामरहीम पर धर्म गुरु के फैसले पर है।,No_sarcasm
